level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	5392291	5392350	#FFC0CB	1.0	ProfTask <12>						565669
2	5397395	5397401	#FFC0CB	1.0	ProfTask <14>						565671
2	5402698	5402702	#FFC0CB	1.0	ProfTask						565673
2	5643397	5643406	#FFC0CB	1.0	ProfTask <258>						565675
2	5668721	5668726	#FFC0CB	1.0	ProfTask <281>						565677
2	5946951	5946962	#FFC0CB	1.0	ProfTask <543>						565679
2	5962075	5962188	#00ff15	1.0	__binary_double_double_+ <561>						1773
2	6050108	6050120	#FFC0CB	1.0	ProfTask <645>						565681
2	6055175	6055185	#FFC0CB	1.0	ProfTask <649>						565683
2	6079470	6079482	#FFC0CB	1.0	ProfTask <673>						565685
2	6192345	6192372	#FFC0CB	1.0	ProfTask						565687
2	6211092	6211102	#FFC0CB	1.0	ProfTask <800>						565689
2	6283376	6283388	#FFC0CB	1.0	ProfTask <869>						565691
2	6318388	6318399	#FFC0CB	1.0	ProfTask <902>						565693
2	6354729	6354830	#008aff	1.0	__binary_double_double_- <935>						2259
2	6382945	6382957	#FFC0CB	1.0	ProfTask <962>						565695
2	6400986	6401000	#FFC0CB	1.0	ProfTask <976>						565697
2	6404184	6404195	#FFC0CB	1.0	ProfTask <980>						565699
2	6404593	6404597	#FFC0CB	1.0	ProfTask <979>						565701
2	6413938	6413948	#FFC0CB	1.0	ProfTask						565703
2	6426603	6426611	#FFC0CB	1.0	ProfTask <1001>						565705
2	6497514	6497524	#FFC0CB	1.0	ProfTask						565707
2	6501048	6501783	#2b00ff	1.0	CG_iter <1066>						3065
2	6501783	6505566	#2b00ff	0.15	CG_iter <1066> (waiting)						3065
2	6505566	6505604	#2b00ff	0.45	CG_iter <1066> (ready)						3065
2	6505604	6505611	#2b00ff	1.0	CG_iter <1066>						3065
2	6505611	6505854	#2b00ff	0.15	CG_iter <1066> (waiting)						3065
2	6505854	6505882	#2b00ff	0.45	CG_iter <1066> (ready)						3065
2	6505882	6505884	#2b00ff	1.0	CG_iter <1066>						3065
2	6505884	6506151	#2b00ff	0.15	CG_iter <1066> (waiting)						3065
2	6506151	6506172	#2b00ff	0.45	CG_iter <1066> (ready)						3065
2	6506172	6506174	#2b00ff	1.0	CG_iter <1066>						3065
2	6506174	6506435	#2b00ff	0.15	CG_iter <1066> (waiting)						3065
2	6506435	6506455	#2b00ff	0.45	CG_iter <1066> (ready)						3065
2	6506455	6506458	#2b00ff	1.0	CG_iter <1066>						3065
2	6506458	6507743	#2b00ff	0.15	CG_iter <1066> (waiting)						3065
2	6507743	6507765	#2b00ff	0.45	CG_iter <1066> (ready)						3065
2	6507765	6507945	#2b00ff	1.0	CG_iter <1066>						3065
