level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	5249507	5250147	#FFC0CB	1.0	ProfTask <1>						346860
2	5323418	5323434	#FFC0CB	1.0	ProfTask <3>						346862
2	5366220	5366279	#FFC0CB	1.0	ProfTask <4>						346864
2	5385824	5385848	#FFC0CB	1.0	ProfTask <10>						346866
2	5387162	5387490	#ff0038	1.0	initialize_vectors <11>						464523
2	5389019	5389045	#FFC0CB	1.0	ProfTask <10>						346868
2	5389209	5389227	#FFC0CB	1.0	ProfTask <11>						346870
2	5398839	5398855	#FFC0CB	1.0	ProfTask <17>						346872
2	5406946	5406952	#FFC0CB	1.0	ProfTask <28>						346874
2	5407130	5407162	#FFC0CB	1.0	ProfTask						346876
2	5408704	5408708	#FFC0CB	1.0	ProfTask <30>						346878
2	5412638	5412644	#FFC0CB	1.0	ProfTask <33>						346880
2	5416604	5416621	#FFC0CB	1.0	ProfTask <37>						346882
2	5423470	5423475	#FFC0CB	1.0	ProfTask <44>						346884
2	5436420	5436435	#FFC0CB	1.0	ProfTask <56>						346886
2	5452339	5452347	#FFC0CB	1.0	ProfTask						346888
2	5463150	5463267	#00ff15	1.0	__binary_double_double_+ <82>						1135
2	5466291	5466316	#FFC0CB	1.0	ProfTask <86>						346890
2	5466507	5466734	#3a00ff	1.0	__binary_double_double_* <85>						1141
2	5467327	5467418	#00ff15	1.0	__binary_double_double_+ <86>						1143
2	5468740	5468751	#FFC0CB	1.0	ProfTask <88>						346892
2	5474757	5474764	#FFC0CB	1.0	ProfTask <94>						346894
2	5477193	5477206	#FFC0CB	1.0	ProfTask <96>						346896
2	5477828	5477933	#00ff15	1.0	__binary_double_double_+ <96>						1151
2	5478050	5478060	#FFC0CB	1.0	ProfTask <96>						346898
2	5484902	5484920	#FFC0CB	1.0	ProfTask <104>						346900
2	5485135	5485374	#3a00ff	1.0	__binary_double_double_* <103>						1161
2	5487208	5487440	#3a00ff	1.0	__binary_double_double_* <105>						352278
2	5489274	5489396	#3a00ff	1.0	__binary_double_double_* <107>						1167
2	5490165	5490404	#00ff15	1.0	__binary_double_double_+ <108>						410507
2	5495564	5495589	#FFC0CB	1.0	ProfTask						346902
2	5495975	5496217	#3a00ff	1.0	__binary_double_double_* <113>						464529
2	5500741	5500766	#FFC0CB	1.0	ProfTask <117>						346904
2	5511640	5511647	#FFC0CB	1.0	ProfTask <128>						346906
2	5525564	5525569	#FFC0CB	1.0	ProfTask <141>						346908
2	5535906	5535911	#FFC0CB	1.0	ProfTask <151>						346910
2	5544445	5544460	#FFC0CB	1.0	ProfTask <160>						346912
2	5569184	5569189	#FFC0CB	1.0	ProfTask <183>						346914
2	5582860	5582865	#FFC0CB	1.0	ProfTask <198>						346916
2	5584505	5584510	#FFC0CB	1.0	ProfTask <200>						346918
2	5599843	5599855	#FFC0CB	1.0	ProfTask <213>						346920
2	5610734	5610748	#FFC0CB	1.0	ProfTask <228>						346922
2	5610876	5610892	#FFC0CB	1.0	ProfTask <231>						346924
2	5637294	5637300	#FFC0CB	1.0	ProfTask						346926
2	5644888	5644894	#FFC0CB	1.0	ProfTask						346928
2	5651262	5651546	#3a00ff	1.0	__binary_double_double_* <265>						1377
2	5652908	5652921	#FFC0CB	1.0	ProfTask <267>						346930
2	5655797	5656053	#3a00ff	1.0	__binary_double_double_* <269>						464534
2	5657646	5657899	#3a00ff	1.0	__binary_double_double_* <271>						410534
2	5661949	5661959	#FFC0CB	1.0	ProfTask <276>						346932
2	5665271	5665511	#3a00ff	1.0	__binary_double_double_* <278>						1397
2	5668156	5668180	#FFC0CB	1.0	ProfTask <282>						346934
2	5668370	5668607	#3a00ff	1.0	__binary_double_double_* <281>						564544
2	5671457	5671695	#3a00ff	1.0	__binary_double_double_* <284>						352292
2	5674336	5674363	#FFC0CB	1.0	ProfTask <288>						346936
2	5674549	5674783	#3a00ff	1.0	__binary_double_double_* <287>						1409
2	5677636	5677851	#3a00ff	1.0	__binary_double_double_* <290>						1415
2	5677953	5677963	#FFC0CB	1.0	ProfTask						346938
2	5683919	5684176	#3a00ff	1.0	__binary_double_double_* <296>						464535
2	5690105	5690198	#3a00ff	1.0	__binary_double_double_* <302>						464537
2	5693227	5693460	#3a00ff	1.0	__binary_double_double_* <305>						439249
2	5696465	5696704	#3a00ff	1.0	__binary_double_double_* <308>						1439
2	5713944	5713956	#FFC0CB	1.0	ProfTask <325>						346940
2	5770729	5770748	#FFC0CB	1.0	ProfTask <381>						346942
2	5770959	5771093	#3a00ff	1.0	__binary_double_double_* <380>						1549
2	5771746	5771837	#008aff	1.0	__binary_double_double_- <381>						1551
2	5774207	5774219	#FFC0CB	1.0	ProfTask <384>						346944
2	5778464	5778469	#FFC0CB	1.0	ProfTask <388>						346946
2	5781036	5781290	#008aff	1.0	__binary_double_double_- <390>						410546
2	5790140	5790150	#FFC0CB	1.0	ProfTask <399>						346948
2	5790795	5791059	#008aff	1.0	__binary_double_double_- <399>						410549
2	5794140	5794386	#008aff	1.0	__binary_double_double_- <402>						410551
2	5864689	5864942	#3a00ff	1.0	__binary_double_double_* <470>						439252
2	5867531	5867543	#FFC0CB	1.0	ProfTask <474>						346950
2	5870924	5871164	#3a00ff	1.0	__binary_double_double_* <476>						464541
2	5874374	5874384	#FFC0CB	1.0	ProfTask						346952
2	5877136	5877359	#3a00ff	1.0	__binary_double_double_* <482>						1691
2	5880192	5880279	#3a00ff	1.0	__binary_double_double_* <485>						1695
2	5880784	5880795	#FFC0CB	1.0	ProfTask <485>						346954
2	5883277	5883507	#3a00ff	1.0	__binary_double_double_* <488>						464542
2	5883616	5883627	#FFC0CB	1.0	ProfTask						346956
2	5886159	5886176	#FFC0CB	1.0	ProfTask <492>						346958
2	5886381	5886617	#3a00ff	1.0	__binary_double_double_* <491>						1705
2	5891717	5891741	#FFC0CB	1.0	ProfTask <496>						346960
2	5916564	5916721	#3a00ff	1.0	__binary_double_double_* <520>						1745
2	5918094	5918122	#FFC0CB	1.0	ProfTask <521>						346962
2	5919869	5920122	#3a00ff	1.0	__binary_double_double_* <523>						352314
2	5922179	5922422	#008aff	1.0	__binary_double_double_- <525>						410564
2	5925091	5925100	#FFC0CB	1.0	ProfTask						346964
2	5935227	5935245	#FFC0CB	1.0	ProfTask <536>						346966
2	5935473	5935478	#FFC0CB	1.0	ProfTask <538>						346968
2	5939922	5940043	#00ff03	1.0	__binary_double_double_< <13>						1755
2	5942821	5943659	#2b00ff	1.0	CG_iter <539>						464577
2	5943659	5947418	#2b00ff	0.15	CG_iter <539> (waiting)						464577
2	5947418	5947454	#2b00ff	0.45	CG_iter <539> (ready)						464577
2	5947454	5947463	#2b00ff	1.0	CG_iter <539>						464577
2	5947463	5947703	#2b00ff	0.15	CG_iter <539> (waiting)						464577
2	5947703	5947729	#2b00ff	0.45	CG_iter <539> (ready)						464577
2	5947729	5947735	#2b00ff	1.0	CG_iter <539>						464577
2	5947735	5947987	#2b00ff	0.15	CG_iter <539> (waiting)						464577
2	5947987	5948013	#2b00ff	0.45	CG_iter <539> (ready)						464577
2	5948013	5948017	#2b00ff	1.0	CG_iter <539>						464577
2	5948017	5948270	#2b00ff	0.15	CG_iter <539> (waiting)						464577
2	5948270	5948296	#2b00ff	0.45	CG_iter <539> (ready)						464577
2	5948296	5948302	#2b00ff	1.0	CG_iter <539>						464577
2	5948302	5949561	#2b00ff	0.15	CG_iter <539> (waiting)						464577
2	5949561	5949590	#2b00ff	0.45	CG_iter <539> (ready)						464577
2	5949590	5949835	#2b00ff	1.0	CG_iter <539>						464577
2	5949835	5951789	#2b00ff	0.15	CG_iter <539> (waiting)						464577
2	5951789	5951818	#2b00ff	0.45	CG_iter <539> (ready)						464577
2	5951818	5952051	#2b00ff	1.0	CG_iter <539>						464577
2	5952051	5953850	#2b00ff	0.15	CG_iter <539> (waiting)						464577
2	5953850	5953885	#2b00ff	0.45	CG_iter <539> (ready)						464577
2	5953885	5954127	#2b00ff	1.0	CG_iter <539>						464577
2	5954127	5955952	#2b00ff	0.15	CG_iter <539> (waiting)						464577
2	5955952	5955982	#2b00ff	0.45	CG_iter <539> (ready)						464577
2	5955982	5956230	#2b00ff	1.0	CG_iter <539>						464577
2	5956230	5958045	#2b00ff	0.15	CG_iter <539> (waiting)						464577
2	5958045	5958075	#2b00ff	0.45	CG_iter <539> (ready)						464577
2	5958075	5958347	#2b00ff	1.0	CG_iter <539>						464577
2	5958347	5960204	#2b00ff	0.15	CG_iter <539> (waiting)						464577
