time	count
0.00	0.00
5040023.00	0.00
5044947.00	0.00
5046489.00	0.00
5047800.00	0.00
5049172.00	0.00
5050504.00	0.00
5051819.00	0.00
32176321.00	0.00
32176598.00	0.00
32176646.00	0.00
32176680.00	0.00
32176716.00	0.00
32176751.00	0.00
32176792.00	0.00
