level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
7	5040023	32176792	#00ffcc	1.0	Instance 0x6000000000000000 Size=6KB	3					172615
6	5044947	32176321	#00ffcc	1.0	Instance 0x6000000000000001 Size=800B	4					172616
5	5046489	32176598	#00ffcc	1.0	Instance 0x6000000000000002 Size=800B	5					172617
4	5047800	32176646	#00ffcc	1.0	Instance 0x6000000000000003 Size=800B	6					172618
3	5049172	32176680	#00ffcc	1.0	Instance 0x6000000000000004 Size=800B	7					172619
2	5050504	32176716	#00ffcc	1.0	Instance 0x6000000000000005 Size=800B	8					172620
1	5051819	32176751	#00ffcc	1.0	Instance 0x6000000000000006 Size=800B	9					172621
