level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	5047167	5051012	#d0ff00	1.0	toplevel <1>						18968
3	5051012	5058547	#d0ff00	0.15	toplevel <1> (waiting)						18968
3	5058547	5058611	#d0ff00	0.45	toplevel <1> (ready)						18968
3	5058611	5059286	#d0ff00	1.0	toplevel <1>						18968
3	5059286	5060753	#d0ff00	0.15	toplevel <1> (waiting)						18968
3	5060753	5060787	#d0ff00	0.45	toplevel <1> (ready)						18968
3	5060787	5061180	#d0ff00	1.0	toplevel <1>						18968
3	5061180	5062285	#d0ff00	0.15	toplevel <1> (waiting)						18968
3	5062285	5062315	#d0ff00	0.45	toplevel <1> (ready)						18968
3	5062315	5062628	#d0ff00	1.0	toplevel <1>						18968
3	5062628	5063769	#d0ff00	0.15	toplevel <1> (waiting)						18968
3	5063769	5063806	#d0ff00	0.45	toplevel <1> (ready)						18968
3	5063806	5064148	#d0ff00	1.0	toplevel <1>						18968
3	5064148	5065293	#d0ff00	0.15	toplevel <1> (waiting)						18968
3	5065293	5065324	#d0ff00	0.45	toplevel <1> (ready)						18968
3	5065324	5065662	#d0ff00	1.0	toplevel <1>						18968
3	5065662	5066756	#d0ff00	0.15	toplevel <1> (waiting)						18968
3	5066756	5068997	#d0ff00	0.45	toplevel <1> (ready)						18968
3	5068997	5069329	#d0ff00	1.0	toplevel <1>						18968
3	5069329	5070502	#d0ff00	0.15	toplevel <1> (waiting)						18968
3	5070502	5070535	#d0ff00	0.45	toplevel <1> (ready)						18968
3	5070535	5071885	#d0ff00	1.0	toplevel <1>						18968
3	5071885	5600841	#d0ff00	0.15	toplevel <1> (waiting)						18968
3	5600841	5600868	#d0ff00	0.45	toplevel <1> (ready)						18968
3	5600868	5601249	#d0ff00	1.0	toplevel <1>						18968
3	5601249	6138594	#d0ff00	0.15	toplevel <1> (waiting)						18968
3	6138594	6138622	#d0ff00	0.45	toplevel <1> (ready)						18968
3	6138622	6138989	#d0ff00	1.0	toplevel <1>						18968
3	6138989	6661473	#d0ff00	0.15	toplevel <1> (waiting)						18968
3	6661473	6661506	#d0ff00	0.45	toplevel <1> (ready)						18968
3	6661506	6661916	#d0ff00	1.0	toplevel <1>						18968
3	6661916	7187629	#d0ff00	0.15	toplevel <1> (waiting)						18968
3	7187629	7187658	#d0ff00	0.45	toplevel <1> (ready)						18968
3	7187658	7188045	#d0ff00	1.0	toplevel <1>						18968
3	7188045	7722219	#d0ff00	0.15	toplevel <1> (waiting)						18968
