level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
7	5054829	31520948	#00ffcc	1.0	Instance 0x6000000000000000 Size=6KB	3					103055
6	5060166	31520717	#00ffcc	1.0	Instance 0x6000000000000001 Size=800B	4					103048
5	5061852	31520437	#00ffcc	1.0	Instance 0x6000000000000002 Size=800B	5					309580
4	5063314	31520820	#00ffcc	1.0	Instance 0x6000000000000003 Size=800B	6					103052
3	5064828	31520774	#00ffcc	1.0	Instance 0x6000000000000004 Size=800B	7					103051
2	5066321	31520861	#00ffcc	1.0	Instance 0x6000000000000005 Size=800B	8					103054
1	5070076	31520902	#00ffcc	1.0	Instance 0x6000000000000006 Size=800B	9					103049
